,,법정동,비행불가능여부
151,강원도영월군북면,4275033021,1
152,강원도영월군상동읍,4275025321,0
153,강원도영월군영월읍,4275025021,1
154,강원도영월군주천면,4275036021,1
155,강원도영월군중동면,4275031021,0
156,강원도영월군한반도면,4275035523,1
157,강원도영월군김삿갓면,4275032524,1
158,강원도영월군남면,4275034021,1
159,강원도영월군무릉도원면,4275038021,1
160,강원도영월군북면,4275033021,1
161,강원도영월군상동읍,4275025321,0
162,강원도영월군영월읍,4275025021,1
163,강원도영월군주천면,4275036021,1
164,강원도영월군중동면,4275031021,0
165,강원도영월군한반도면,4275035523,1
166,강원도인제군기린면,4281033021,1
167,강원도인제군남면,4281031021,1
168,강원도인제군북면,4281032021,0
169,강원도인제군상남면,4281035021,1
170,강원도인제군서화면,4281034021,0
171,강원도인제군인제읍,4281025021,0
172,강원도정선군고한읍,4277025321,0
173,강원도정선군남면,4277032021,1
174,강원도정선군북평면,4277034022,1
175,강원도정선군사북읍,4277025622,1
176,강원도정선군신동읍,4277025923,1
177,강원도정선군여량면,4277037021,1
178,강원도철원군갈말읍,4278025621,0
179,강원도철원군근남면,4278032021,0
180,강원도철원군근동면,4278034022,0
181,강원도철원군근북면,4278033022,0
182,강원도철원군김화읍,4278025321,0
183,강원도철원군동송읍,4278025921,0
184,강원도철원군서면,4278031021,0
185,강원도철원군원남면,4278036028,0
186,강원도철원군원동면,4278035024,0
187,강원도춘천시교동,4211012200,0
188,강원도춘천시근화동,4211011700,0
189,강원도춘천시낙원동,4211010300,0
190,강원도춘천시남면,4211034024,0
191,강원도춘천시남산면,4211040025,0
192,강원도춘천시동내면,4211039022,0
193,강원도춘천시동면,4211031021,1
194,강원도춘천시동산면,4211032021,1
195,강원도춘천시봉의동,4211010100,0
196,강원도춘천시북산면,4211038025,1
197,강원도춘천시사농동,4211011900,0
198,강원도춘천시사북면,4211036021,0
199,강원도춘천시삼천동,4211012500,0
200,강원도춘천시서면,4211035022,0
201,강원도춘천시석사동,4211012400,0
202,강원도춘천시소양로1가,4211011300,0
203,강원도춘천시소양로2가,4211011400,0
204,강원도춘천시소양로3가,4211011500,0
205,강원도춘천시소양로4가,4211011600,0
206,강원도춘천시송암동,4211012700,0
207,강원도춘천시신동,4211012800,0
208,강원도춘천시신동면,4211033024,0
209,강원도춘천시신북읍,4211025021,0
210,강원도춘천시약사동,4211011100,0
211,강원도춘천시옥천동,4211010700,0
212,강원도춘천시온의동,4211012100,0
213,강원도춘천시요선동,4211010200,0
214,강원도춘천시우두동,4211011800,0
215,강원도춘천시운교동,4211011000,0
216,강원도춘천시조양동,4211010800,0
217,강원도춘천시죽림동,4211010900,0
218,강원도춘천시중도동,4211012900,0
219,강원도춘천시중앙로1가,4211010400,0
220,강원도춘천시중앙로2가,4211010500,0
221,강원도춘천시중앙로3가,4211010600,0
222,강원도춘천시칠전동,4211012600,0
223,강원도춘천시퇴계동,4211012300,0
224,강원도춘천시효자동,4211011200,0
225,강원도춘천시후평동,4211012000,0
226,강원도태백시금천동,4219010300,0
227,강원도태백시동점동,4219010600,0
228,강원도태백시문곡동,4219010500,0
229,강원도태백시백산동,4219011300,1
230,강원도태백시상사미동,4219011500,1
231,강원도태백시소도동,4219010700,0
232,강원도태백시원동,4219011400,1
233,강원도태백시장성동,4219010200,0
234,강원도태백시적각동,4219011000,1
235,강원도태백시조탄동,4219011700,1
236,강원도태백시창죽동,4219011100,1
237,강원도태백시철암동,4219010400,1
238,강원도태백시통동,4219011200,0
239,강원도태백시하사미동,4219011600,1
240,강원도태백시혈동,4219010800,0
241,강원도태백시화전동,4219010900,0
242,강원도태백시황지동,4219010100,0
243,강원도평창군대관령면,4276038024,0
244,강원도평창군대화면,4276033021,1
245,강원도평창군미탄면,4276031021,1
246,강원도평창군방림면,4276032021,1
247,강원도평창군봉평면,4276034021,0
248,강원도평창군용평면,4276035021,0
249,강원도평창군진부면,4276036021,0
250,강원도평창군평창읍,4276025022,1
251,강원도홍천군남면,4272036021,0
252,강원도홍천군내면,4272039021,1
253,강원도홍천군내촌면,4272033024,1
254,강원도홍천군두촌면,4272032024,1
255,강원도홍천군북방면,4272038021,1
256,강원도홍천군서면,4272037021,0
257,강원도홍천군서석면,4272034021,0
258,강원도홍천군영귀미면,4272035221,0
259,강원도화천군간동면,4279031021,0
260,강원도화천군사내면,4279034021,0
261,강원도화천군상서면,4279033025,0
262,강원도화천군하남면,4279032021,0
263,강원도화천군화천읍,4279025022,0
264,강원도횡성군갑천면,4273034026,0
265,강원도횡성군강림면,4273038021,1
266,강원도횡성군공근면,4273036033,0
267,강원도횡성군둔내면,4273033027,0
268,강원도횡성군서원면,4273037021,0
269,강원도횡성군안흥면,4273032021,1
270,강원도횡성군우천면,4273031031,1
271,강원도횡성군청일면,4273035024,0
272,강원도횡성군횡성읍,4273025023,0
273,경기도가평군가평읍,4182025021,0
274,경기도가평군북면,4182035021,0
275,경기도가평군상면,4182033021,0
276,경기도가평군설악면,4182031021,0
277,경기도가평군조종면,4182034521,0
278,경기도가평군청평면,4182032521,0
279,경기도고양시덕양구강매동,4128710300,0
280,경기도고양시덕양구고양동,4128710300,0
281,경기도고양시덕양구관산동,4128710300,0
282,경기도고양시덕양구내곡동,4128710300,0
283,경기도고양시덕양구내유동,4128710300,0
284,경기도고양시덕양구대자동,4128710300,0
285,경기도고양시덕양구대장동,4128710300,0
286,경기도고양시덕양구덕은동,4128710300,0
287,경기도고양시덕양구도내동,4128710300,0
288,경기도고양시덕양구동산동,4128710300,0
289,경기도고양시덕양구벽제동,4128710300,0
290,경기도고양시덕양구북한동,4128710300,0
291,경기도고양시덕양구삼송동,4128710300,0
292,경기도고양시덕양구선유동,4128710300,0
293,경기도고양시덕양구성사동,4128710300,0
294,경기도고양시덕양구신원동,4128710300,0
295,경기도고양시덕양구신평동,4128710300,0
296,경기도고양시덕양구오금동,4128710300,0
297,경기도고양시덕양구용두동,4128710300,0
298,경기도고양시덕양구원당동,4128710300,0
299,경기도고양시덕양구원흥동,4128710300,0
300,경기도고양시덕양구주교동,4128710300,0
301,경기도고양시덕양구지축동,4128710300,0
302,경기도고양시덕양구토당동,4128710300,0
303,경기도고양시덕양구행신동,4128710300,0
304,경기도고양시덕양구행주내동,4128710300,0
305,경기도고양시덕양구행주외동,4128710300,0
306,경기도고양시덕양구향동동,4128710300,0
307,경기도고양시덕양구현천동,4128710300,0
308,경기도고양시덕양구화전동,4128710300,0
309,경기도고양시덕양구화정동,4128710300,0
310,경기도고양시덕양구효자동,4128710300,0
311,경기도고양시일산동구마두동,4128710300,0
312,경기도고양시일산동구문봉동,4128710300,0
313,경기도고양시일산동구백석동,4128710300,0
314,경기도고양시일산동구사리현동,4128710300,0
315,경기도고양시일산동구산황동,4128710300,0
316,경기도고양시일산동구설문동,4128710300,0
317,경기도고양시일산동구성석동,4128710300,0
318,경기도고양시일산동구식사동,4128710300,0
319,경기도고양시일산동구장항동,4128710300,0
320,경기도고양시일산동구정발산동,4128710300,0
321,경기도고양시일산동구중산동,4128710300,0
322,경기도고양시일산동구지영동,4128710300,0
323,경기도고양시일산동구풍동,4128710300,0
324,경기도고양시일산서구가좌동,4128710300,0
325,경기도고양시일산서구구산동,4128710300,0
326,경기도고양시일산서구대화동,4128710300,0
327,경기도고양시일산서구덕이동,4128710300,0
328,경기도고양시일산서구법곳동,4128710300,0
329,경기도고양시일산서구일산동,4128710300,0
330,경기도고양시일산서구주엽동,4128710300,0
331,경기도고양시일산서구탄현동,4128710300,0
332,경기도과천시갈현동,4129010300,0
333,경기도과천시과천동,4129010500,0
334,경기도과천시관문동,4129010100,0
335,경기도과천시막계동,4129010400,0
336,경기도과천시문원동,4129010200,0
337,경기도과천시별양동,4129010900,0
338,경기도과천시부림동,4129011000,0
339,경기도과천시원문동,4129010800,0
340,경기도과천시주암동,4129010600,0
341,경기도과천시중앙동,4129010700,0
342,경기도광명시가학동,4121010700,0
343,경기도광명시광명동,4121010100,0
344,경기도광명시노온사동,4121010500,0
345,경기도광명시소하동,4121010400,0
346,경기도광명시옥길동,4121010800,0
347,경기도광명시일직동,4121010600,0
348,경기도광명시철산동,4121010200,0
349,경기도광명시하안동,4121010300,0
350,경기도광주시경안동,4161010100,0
351,경기도광주시곤지암읍,4161025921,0
352,경기도광주시남종면,4161035021,0
353,경기도광주시남한산성면,4161037023,0
354,경기도광주시도척면,4161033021,0
355,경기도광주시목동,4161011300,0
356,경기도광주시목현동,4161010600,0
357,경기도광주시삼동,4161010700,0
358,경기도광주시송정동,4161010300,0
359,경기도광주시쌍령동,4161010200,0
360,경기도광주시역동,4161011200,0
361,경기도광주시오포읍,4161025025,0
362,경기도광주시장지동,4161011100,0
363,경기도광주시중대동,4161010800,0
364,경기도광주시직동,4161010900,0
365,경기도광주시초월읍,4161025321,0
366,경기도광주시탄벌동,4161010500,0
367,경기도광주시태전동,4161011000,0
368,경기도광주시퇴촌면,4161034021,0
369,경기도광주시회덕동,4161010400,0
370,경기도구리시갈매동,4131010100,0
371,경기도구리시교문동,4131010400,0
372,경기도구리시사노동,4131010200,0
373,경기도구리시수택동,4131010500,0
374,경기도구리시아천동,4131010600,0
375,경기도구리시인창동,4131010300,0
376,경기도구리시토평동,4131010700,0
377,경기도군포시금정동,4141010500,0
378,경기도군포시당동,4141010100,0
379,경기도군포시당정동,4141010200,0
380,경기도군포시대야미동,4141010800,0
381,경기도군포시도마교동,4141010900,0
382,경기도군포시둔대동,4141010600,0
383,경기도군포시부곡동,4141010300,0
384,경기도군포시산본동,4141010400,0
385,경기도군포시속달동,4141010700,0
386,경기도김포시감정동,4157010500,0
387,경기도김포시걸포동,4157010200,0
388,경기도김포시고촌읍,4157025324,0
389,경기도김포시구래동,4157010900,0
390,경기도김포시대곶면,4157034025,0
391,경기도김포시마산동,4157010800,0
392,경기도김포시북변동,4157010100,0
393,경기도김포시사우동,4157010600,0
394,경기도김포시양촌읍,4157025621,0
395,경기도김포시운양동,4157010300,0
396,경기도김포시월곶면,4157035021,0
397,경기도김포시장기동,4157010400,0
398,경기도김포시통진읍,4157025022,0
399,경기도김포시풍무동,4157010700,0
400,경기도김포시하성면,4157036021,0
401,경기도남양주시금곡동,4136010300,0
402,경기도남양주시다산동,4136011200,0
403,경기도남양주시도농동,4136011000,0
404,경기도남양주시별내동,4136011100,0
405,경기도남양주시별내면,4136031023,0
406,경기도남양주시삼패동,4136010600,0
407,경기도남양주시수동면,4136034021,0
408,경기도남양주시수석동,4136010800,0
409,경기도남양주시오남읍,4136026221,0
410,경기도남양주시와부읍,4136025021,0
411,경기도남양주시이패동,4136010500,0
412,경기도남양주시일패동,4136010400,0
413,경기도남양주시조안면,4136036022,0
414,경기도남양주시지금동,4136010900,0
415,경기도남양주시진건읍,4136025921,0
416,경기도남양주시진접읍,4136025321,0
417,경기도남양주시퇴계원읍,4136026521,0
418,경기도남양주시평내동,4136010200,0
419,경기도남양주시호평동,4136010100,0
420,경기도남양주시화도읍,4136025621,0
421,경기도동두천시걸산동,4125010500,0
422,경기도동두천시광암동,4125010400,0
423,경기도동두천시동두천동,4125010700,0
424,경기도동두천시보산동,4125010600,0
425,경기도동두천시상봉암동,4125010900,0
426,경기도동두천시상패동,4125011200,0
427,경기도동두천시생연동,4125010300,0
428,경기도동두천시송내동,4125010100,0
429,경기도동두천시안흥동,4125010800,0
430,경기도동두천시지행동,4125010200,0
431,경기도동두천시탑동동,4125011100,0
432,경기도동두천시하봉암동,4125011000,0
433,경기도부천시계수동,4119011600,0
434,경기도부천시고강동,4119012100,0
435,경기도부천시괴안동,4119011300,0
436,경기도부천시내동,4119012400,0
437,경기도부천시대장동,4119012200,0
438,경기도부천시도당동,4119010400,0
439,경기도부천시범박동,4119011200,0
440,경기도부천시삼정동,4119012300,0
441,경기도부천시상동,4119010900,0
442,경기도부천시소사동,4119010600,0
443,경기도부천시소사본동,4119010600,0
444,경기도부천시송내동,4119010600,0
445,경기도부천시심곡동,4119010200,0
446,경기도부천시심곡본동,4119011100,0
447,경기도부천시약대동,4119010500,0
448,경기도부천시여월동,4119011800,0
449,경기도부천시역곡동,4119010700,0
450,경기도부천시오정동,4119011700,0
451,경기도부천시옥길동,4119011500,0
452,경기도부천시원미동,4119010100,0
453,경기도부천시원종동,4119012000,0
454,경기도부천시작동,4119011900,0
455,경기도부천시중동,4119010800,0
456,경기도부천시춘의동,4119010300,0
457,경기도성남시 분당구구미동,4113511400,0
458,경기도성남시분당구궁내동,4113310900,0
459,경기도성남시분당구금곡동,4113310900,0
460,경기도성남시분당구대장동,4113310900,0
461,경기도성남시분당구동원동,4113310900,0
462,경기도성남시분당구백현동,4113310900,0
463,경기도성남시분당구분당동,4113310900,0
464,경기도성남시분당구삼평동,4113310900,0
465,경기도성남시분당구서현동,4113310900,0
466,경기도성남시분당구석운동,4113310900,0
467,경기도성남시분당구수내동,4113310900,0
468,경기도성남시분당구야탑동,4113310900,0
469,경기도성남시분당구운중동,4113310900,0
470,경기도성남시분당구율동,4113310900,0
471,경기도성남시분당구이매동,4113310900,0
472,경기도성남시분당구정자동,4113310900,0
473,경기도성남시분당구판교동,4113310900,0
474,경기도성남시분당구하산운동,4113310900,0
475,경기도성남시수정구고등동,4113310900,0
476,경기도성남시수정구금토동,4113310900,0
477,경기도성남시수정구단대동,4113310900,0
478,경기도성남시수정구둔전동,4113310900,0
479,경기도성남시수정구복정동,4113310900,0
480,경기도성남시수정구사송동,4113310900,0
481,경기도성남시수정구산성동,4113310900,0
482,경기도성남시수정구상적동,4113310900,0
483,경기도성남시수정구수진동,4113310900,0
484,경기도성남시수정구시흥동,4113310900,0
485,경기도성남시수정구신촌동,4113310900,0
486,경기도성남시수정구신흥동,4113310900,0
487,경기도성남시수정구심곡동,4113310900,0
488,경기도성남시수정구양지동,4113310900,0
489,경기도성남시수정구오야동,4113310900,0
490,경기도성남시수정구창곡동,4113310900,0
491,경기도성남시수정구태평동,4113310900,0
492,경기도성남시중원구갈현동,4113310900,0
493,경기도성남시중원구금광동,4113310900,0
494,경기도성남시중원구도촌동,4113310900,0
495,경기도성남시중원구상대원동,4113310900,0
496,경기도성남시중원구성남동,4113310900,0
497,경기도성남시중원구여수동,4113310900,0
498,경기도성남시중원구은행동,4113310900,0
499,경기도성남시중원구중앙동,4113310900,0
500,경기도성남시중원구하대원동,4113310900,0
501,경기도수원시권선구고색동,4111513800,0
502,경기도수원시권선구곡반정동,4111513800,0
503,경기도수원시권선구구운동,4111513800,0
504,경기도수원시권선구권선동,4111513800,0
505,경기도수원시권선구금곡동,4111513800,0
506,경기도수원시권선구당수동,4111513800,0
507,경기도수원시권선구대황교동,4111513800,0
508,경기도수원시권선구서둔동,4111513800,0
509,경기도수원시권선구세류동,4111513800,0
510,경기도수원시권선구오목천동,4111513800,0
511,경기도수원시권선구입북동,4111513800,0
512,경기도수원시권선구장지동,4111513800,0
513,경기도수원시권선구탑동,4111513800,0
514,경기도수원시권선구평동,4111513800,0
515,경기도수원시권선구평리동,4111513800,0
516,경기도수원시권선구호매실동,4111513800,0
517,경기도수원시영통구망포동,4111513800,0
518,경기도수원시영통구매탄동,4111513800,0
519,경기도수원시영통구신동,4111513800,0
520,경기도수원시영통구영통동,4111513800,0
521,경기도수원시영통구원천동,4111513800,0
522,경기도수원시영통구이의동,4111513800,0
523,경기도수원시영통구하동,4111513800,0
524,경기도수원시장안구상광교동,4111513800,0
525,경기도수원시장안구송죽동,4111513800,0
526,경기도수원시장안구연무동,4111513800,0
527,경기도수원시장안구영화동,4111513800,0
528,경기도수원시장안구율전동,4111513800,0
529,경기도수원시장안구이목동,4111513800,0
530,경기도수원시장안구정자동,4111513800,0
531,경기도수원시장안구조원동,4111513800,0
532,경기도수원시장안구천천동,4111513800,0
533,경기도수원시장안구파장동,4111513800,0
534,경기도수원시장안구하광교동,4111513800,0
535,경기도수원시팔달구고등동,4111513800,0
536,경기도수원시팔달구교동,4111513800,0
537,경기도수원시팔달구구천동,4111513800,0
538,경기도수원시팔달구남수동,4111513800,0
539,경기도수원시팔달구남창동,4111513800,0
540,경기도수원시팔달구매교동,4111513800,0
541,경기도수원시팔달구매산로1가,4111513800,0
542,경기도수원시팔달구매산로2가,4111513800,0
543,경기도수원시팔달구매산로3가,4111513800,0
544,경기도수원시팔달구매향동,4111513800,0
545,경기도수원시팔달구북수동,4111513800,0
546,경기도수원시팔달구신풍동,4111513800,0
547,경기도수원시팔달구영동,4111513800,0
548,경기도수원시팔달구우만동,4111513800,0
549,경기도수원시팔달구인계동,4111513800,0
550,경기도수원시팔달구장안동,4111513800,0
551,경기도수원시팔달구중동,4111513800,0
552,경기도수원시팔달구지동,4111513800,0
553,경기도수원시팔달구팔달로1가,4111513800,0
554,경기도수원시팔달구팔달로2가,4111513800,0
555,경기도수원시팔달구팔달로3가,4111513800,0
556,경기도수원시팔달구화서동,4111513800,0
557,경기도시흥시거모동,4139012700,0
558,경기도시흥시계수동,4139011300,0
559,경기도시흥시과림동,4139011200,0
560,경기도시흥시광석동,4139012100,0
561,경기도시흥시군자동,4139012800,0
562,경기도시흥시금이동,4139011000,0
563,경기도시흥시논곡동,4139012500,0
564,경기도시흥시능곡동,4139011800,0
565,경기도시흥시대야동,4139010100,0
566,경기도시흥시도창동,4139010900,0
567,경기도시흥시매화동,4139010800,0
568,경기도시흥시목감동,4139012600,0
569,경기도시흥시무지내동,4139013400,0
570,경기도시흥시물왕동,4139012200,0
571,경기도시흥시미산동,4139010500,0
572,경기도시흥시방산동,4139010300,0
573,경기도시흥시산현동,4139012300,0
574,경기도시흥시신천동,4139010200,0
575,경기도시흥시안현동,4139010700,0
576,경기도시흥시월곶동,4139013100,0
577,경기도시흥시은행동,4139010600,0
578,경기도시흥시장곡동,4139013000,0
579,경기도시흥시장현동,4139012900,0
580,경기도시흥시정왕동,4139013200,0
581,경기도시흥시조남동,4139012400,0
582,경기도시흥시죽율동,4139013300,0
583,경기도시흥시포동,4139010400,0
584,경기도시흥시하상동,4139012000,0
585,경기도시흥시하중동,4139011900,0
586,경기도시흥시화정동,4139011700,0
587,경기도안산시단원구고잔동,4127111000,0
588,경기도안산시단원구대부남동,4127111000,0
589,경기도안산시단원구대부동동,4127111000,0
590,경기도안산시단원구대부북동,4127111000,0
591,경기도안산시단원구목내동,4127111000,0
592,경기도안산시단원구선감동,4127111000,0
593,경기도안산시단원구선부동,4127111000,0
594,경기도안산시단원구성곡동,4127111000,0
595,경기도안산시단원구신길동,4127111000,0
596,경기도안산시단원구와동,4127111000,0
597,경기도안산시단원구원곡동,4127111000,0
598,경기도안산시단원구원시동,4127111000,0
599,경기도안산시단원구초지동,4127111000,0
600,경기도안산시단원구풍도동,4127111000,0
601,경기도안산시단원구화정동,4127111000,0
602,경기도안산시상록구건건동,4127111000,0
603,경기도안산시상록구본오동,4127111000,0
604,경기도안산시상록구부곡동,4127111000,0
605,경기도안산시상록구사동,4127111000,0
606,경기도안산시상록구사사동,4127111000,0
607,경기도안산시상록구성포동,4127111000,0
608,경기도안산시상록구수암동,4127111000,0
609,경기도안산시상록구양상동,4127111000,0
610,경기도안산시상록구월피동,4127111000,0
611,경기도안산시상록구이동,4127111000,0
612,경기도안산시상록구일동,4127111000,0
613,경기도안산시상록구장상동,4127111000,0
614,경기도안산시상록구장하동,4127111000,0
615,경기도안산시상록구팔곡이동,4127111000,0
616,경기도안산시상록구팔곡일동,4127111000,0
617,경기도안성시가사동,4155012600,0
618,경기도안성시가현동,4155012700,0
619,경기도안성시계동,4155012100,0
620,경기도안성시고삼면,4155042024,0
621,경기도안성시공도읍,4155025029,0
622,경기도안성시구포동,4155010500,0
623,경기도안성시금광면,4155032021,0
624,경기도안성시금산동,4155011400,0
625,경기도안성시금석동,4155012000,0
626,경기도안성시낙원동,4155010900,0
627,경기도안성시당왕동,4155012500,0
628,경기도안성시대덕면,4155035027,0
629,경기도안성시대천동,4155011600,0
630,경기도안성시도기동,4155012400,0
631,경기도안성시동본동,4155010600,0
632,경기도안성시명륜동,4155010700,0
633,경기도안성시미양면,4155034032,0
634,경기도안성시발화동,4155013200,0
635,경기도안성시보개면,4155031029,0
636,경기도안성시봉남동,4155010400,0
637,경기도안성시봉산동,4155010100,0
638,경기도안성시사곡동,4155012300,0
639,경기도안성시삼죽면,4155041026,0
640,경기도안성시서운면,4155033021,0
641,경기도안성시서인동,4155011700,0
642,경기도안성시석정동,4155011800,0
643,경기도안성시성남동,4155011100,0
644,경기도안성시숭인동,4155010200,0
645,경기도안성시신건지동,4155012800,0
646,경기도안성시신모산동,4155013000,0
647,경기도안성시신소현동,4155012900,0
648,경기도안성시신흥동,4155011200,0
649,경기도안성시아양동,4155011900,0
650,경기도안성시양성면,4155036021,0
651,경기도안성시연지동,4155011500,0
652,경기도안성시영동,4155010300,0
653,경기도안성시옥산동,4155012200,0
654,경기도안성시옥천동,4155010800,0
655,경기도안성시원곡면,4155038026,0
656,경기도안성시인지동,4155011300,0
657,경기도안성시일죽면,4155039028,0
658,경기도안성시죽산면,4155040021,0
659,경기도안성시중리동,4155013300,0
660,경기도안성시창전동,4155011000,0
661,경기도안성시현수동,4155013100,0
662,경기도안양시동안구관양동,4117110100,0
663,경기도안양시동안구비산동,4117110100,0
664,경기도안양시동안구평촌동,4117110100,0
665,경기도안양시동안구호계동,4117110100,0
666,경기도안양시만안구박달동,4117110100,0
667,경기도안양시만안구석수동,4117110100,0
668,경기도안양시만안구안양동,4117110100,0
669,경기도양주시고암동,4163011500,0
670,경기도양주시고읍동,4163010900,0
671,경기도양주시광사동,4163010600,0
672,경기도양주시광적면,4163033021,0
673,경기도양주시남면,4163032021,0
674,경기도양주시남방동,4163010300,0
675,경기도양주시덕계동,4163011600,0
676,경기도양주시덕정동,4163011000,0
677,경기도양주시마전동,4163010400,0
